id,D1_1,D1_2,D1_3,D1_4,D2_1,D2_2,D2_3,D2_4,D3_1,D3_2,D3_3,D3_4,D4_1,D4_2,D4_3,D4_4,D5_1,D5_2,D5_3,D5_4,CLASS
306,10,29,7,7,14,28,261,2,65,12,104,27,71,9,141,9,100,6,157,13,D5
307,68,18,160,28,80,19,285,9,54,23,71,13,52,4,9,19,9,8,226,17,D2
308,92,10,136,2,87,6,29,8,28,3,106,4,70,24,75,1,51,9,19,26,D1
309,10,19,29,6,39,17,131,12,55,20,241,15,40,16,147,20,5,17,84,14,D3
310,57,1,31,6,55,27,102,13,23,27,206,12,20,1,239,18,76,28,29,12,D1
311,16,14,262,23,30,3,85,1,13,21,200,24,65,26,154,15,99,22,179,11,D5
312,75,24,112,28,99,7,290,18,45,27,157,17,35,21,154,23,8,23,78,10,D2
313,13,16,217,24,34,27,139,22,13,4,36,20,85,18,115,16,62,10,163,20,D4
314,40,28,84,20,56,14,91,12,60,13,27,18,39,11,161,-5,90,10,9,23,D4
315,98,12,117,16,56,3,160,1,8,14,63,14,25,3,25,1,75,18,93,4,D2
316,87,4,152,23,10,16,181,17,52,1,23,20,40,21,265,17,35,11,57,3,D1
317,20,19,194,6,56,25,187,7,58,1,279,18,7,11,159,5,6,21,90,15,D3
318,57,10,159,22,93,24,277,23,34,6,82,10,63,19,262,28,77,23,272,-5,D5
319,19,11,184,28,55,7,140,11,56,8,4,24,20,9,141,20,1,12,208,1,D2
320,12,21,43,17,17,27,263,12,3,8,96,25,56,13,115,6,91,26,32,5,D5
321,54,17,215,7,4,14,257,0,59,22,292,15,91,3,97,26,82,15,92,20,D4
322,98,18,73,7,29,22,22,8,41,18,266,26,66,20,242,4,73,1,176,0,D5
323,96,15,153,17,92,27,154,10,23,19,146,6,15,25,128,21,90,14,215,6,D5
324,50,24,111,19,71,23,73,8,18,29,211,9,72,0,140,18,79,26,159,7,D4
325,15,24,172,29,46,15,170,22,68,7,257,7,90,0,290,4,69,8,278,11,D4
326,4,0,220,17,55,28,186,5,96,5,110,29,32,11,58,13,61,26,255,8,D3
327,81,1,63,12,77,1,282,16,45,17,209,26,56,17,298,24,8,4,15,23,D2
328,51,12,93,6,69,23,283,9,76,10,267,28,21,26,38,23,17,15,4,23,D2
329,23,9,21,6,34,9,162,23,1,25,181,6,56,19,179,12,21,20,89,16,D4
330,8,1,122,28,40,0,217,29,64,16,239,29,49,10,139,25,70,27,63,27,D3
331,71,12,109,28,78,10,233,1,10,8,72,21,23,1,78,18,49,2,89,16,D2
332,1,27,67,0,8,24,256,10,6,24,259,6,97,13,298,15,92,1,230,5,D5
333,50,14,281,17,8,2,123,4,17,28,6,23,25,25,260,20,56,13,219,18,D1
334,63,21,19,22,25,11,107,2,96,9,16,0,22,21,253,8,0,23,155,26,D3
335,41,13,267,5,1,15,102,22,97,27,151,8,67,7,165,18,25,22,133,29,D3
336,10,7,0,15,10,29,118,27,8,3,199,25,60,7,100,27,12,26,79,12,D4
337,85,21,55,9,76,19,277,16,17,4,278,27,18,0,4,28,39,22,72,12,D2
338,54,1,62,18,75,3,250,26,61,20,292,4,73,28,96,7,7,24,213,2,D3
339,11,8,286,21,25,12,203,14,48,8,18,7,50,28,34,16,55,4,22,8,D5
340,41,21,245,23,38,14,19,22,9,6,156,16,53,11,74,25,94,2,117,16,D5
341,52,2,115,0,17,20,151,2,95,2,51,7,28,20,4,12,93,28,230,1,D3
342,86,16,136,14,81,1,149,16,73,29,180,7,32,20,64,27,20,5,153,4,D2
343,19,2,230,23,43,4,129,19,4,26,53,12,97,20,135,25,92,25,22,8,D5
344,29,13,259,28,4,11,124,10,17,10,67,8,98,14,36,22,48,8,122,15,D4
345,23,25,0,29,84,25,162,27,79,24,220,19,21,21,215,26,50,16,282,23,D3
346,59,25,63,11,18,1,121,21,14,5,299,6,29,13,270,28,2,5,113,2,D3
347,7,5,99,16,57,14,214,15,41,28,296,-5,55,0,23,12,65,12,196,6,D5
348,59,9,78,13,31,10,41,5,61,10,25,23,55,25,103,13,45,8,6,23,D1
349,86,23,71,29,5,14,110,28,58,24,47,13,56,15,96,5,45,20,58,23,D4
350,75,7,232,27,77,11,45,3,21,9,218,1,3,26,263,9,21,7,269,11,D2
351,81,2,74,15,4,7,84,23,60,21,273,28,47,28,174,22,39,17,160,11,D1
352,94,5,100,29,33,12,53,24,13,10,122,1,67,15,66,15,8,7,140,28,D1
353,72,8,48,12,70,7,65,10,90,23,171,20,31,26,51,18,45,29,162,0,D2
354,68,18,273,11,59,3,106,8,76,10,119,3,85,10,179,25,85,4,50,21,D3
355,57,21,124,22,44,14,146,15,35,16,81,8,41,27,273,0,0,26,111,17,D4
356,67,21,183,12,51,11,62,14,15,24,185,6,73,10,300,13,52,16,174,23,D4
357,4,14,239,25,51,7,266,22,2,14,1,16,96,29,12,23,34,26,92,9,D2
358,96,8,107,7,96,18,271,11,58,14,54,8,20,12,269,26,89,23,94,18,D1
359,25,6,40,11,45,6,109,21,4,10,276,8,82,6,24,27,53,3,3,9,D5
360,67,1,263,25,39,2,25,5,15,20,57,20,77,4,226,8,94,3,58,9,D4
361,6,7,46,15,49,8,223,16,79,3,103,24,55,27,102,7,86,25,67,11,D3
362,11,26,184,7,46,4,208,16,72,18,25,13,59,21,176,21,30,10,62,12,D2
363,23,23,219,22,78,23,192,2,83,12,37,0,82,25,116,22,87,11,269,24,D3
364,81,29,180,6,70,13,291,15,21,16,85,27,71,28,255,15,17,14,168,23,D2
365,91,9,129,6,3,2,120,21,86,22,53,17,60,15,259,15,33,27,67,16,D1
366,10,21,138,8,38,18,201,1,15,22,190,16,53,7,297,13,81,21,11,19,D4
367,59,25,45,17,100,14,17,23,4,11,220,17,41,10,58,10,57,27,107,29,D2
368,32,15,98,11,62,4,261,9,40,10,9,14,24,24,261,1,93,11,21,8,D2
369,60,24,9,22,89,22,38,6,44,1,201,27,24,5,132,21,93,12,221,20,D5
370,43,2,46,26,72,7,59,19,70,22,34,21,89,13,171,20,0,7,79,29,D4
371,35,15,90,18,9,0,91,2,59,0,37,6,15,11,117,7,86,21,172,26,D3
372,14,9,133,23,68,20,204,12,92,26,151,16,16,22,271,25,97,2,60,25,D5
373,75,9,234,7,82,0,231,25,74,24,59,29,29,5,221,2,72,8,172,22,D1
374,90,26,285,18,58,12,119,9,38,5,89,27,9,8,271,1,3,7,200,11,D1
375,2,3,220,25,0,23,277,1,63,7,72,29,91,24,286,13,63,2,275,4,D5
376,15,3,168,29,54,23,37,3,52,7,252,15,53,5,280,6,1,3,20,22,D4
377,100,12,284,1,97,19,82,1,95,12,70,22,12,6,260,23,69,29,288,11,D1
378,33,1,291,9,11,7,52,3,94,25,109,26,97,12,31,24,81,23,195,17,D1
379,1,8,151,10,21,20,121,22,22,23,202,12,21,10,223,4,23,23,39,11,D4
380,2,15,245,14,34,24,108,1,27,29,139,18,90,8,220,4,18,1,112,2,D4
381,16,2,104,27,23,12,5,16,42,25,32,28,55,26,88,29,26,13,13,3,D5
382,58,14,190,22,36,9,30,0,99,23,291,25,68,5,34,10,21,7,79,11,D4
383,99,11,67,26,43,27,196,3,13,22,83,25,70,15,29,11,43,17,169,13,D1
384,36,6,99,8,100,25,267,4,89,0,130,17,39,6,34,9,39,11,140,4,D2
385,54,28,273,6,41,6,213,23,87,13,75,7,57,8,170,0,67,25,86,25,D4
386,73,15,18,2,32,4,186,17,51,9,10,1,31,4,121,2,63,9,130,15,D1
387,38,0,216,16,3,28,253,14,72,27,239,9,62,20,21,5,44,24,162,6,D3
388,56,7,76,17,21,1,254,14,32,15,298,7,98,24,38,6,67,15,21,10,D4
389,86,18,277,15,49,12,123,20,25,9,199,11,55,21,101,29,25,10,73,25,D1
390,25,23,27,24,26,28,174,27,62,5,140,1,64,0,126,12,35,28,203,23,D3
391,36,21,113,4,73,19,214,19,30,11,287,17,91,26,139,1,30,28,26,23,D4
392,33,16,240,1,52,11,96,12,26,22,209,7,72,21,100,25,25,27,136,6,D1
393,75,27,99,24,25,7,191,-5,9,21,35,23,86,19,103,27,56,24,57,23,D2
394,4,10,235,13,58,15,253,27,95,28,10,17,60,13,175,15,49,2,38,5,D5
395,28,10,216,20,13,24,244,3,83,25,198,5,47,4,89,12,0,28,203,2,D3
396,31,26,174,3,98,17,194,14,2,23,16,26,27,5,215,2,2,6,150,0,D2
397,63,7,95,5,19,26,77,14,10,4,42,15,59,29,286,15,44,27,87,16,D1
398,33,3,121,4,72,11,293,13,50,23,128,7,85,3,298,19,91,0,188,11,D5
399,73,8,114,26,81,25,262,17,36,4,49,1,68,16,10,26,76,3,95,22,D5
400,93,26,189,-5,8,24,285,22,90,19,256,19,46,0,274,16,25,21,121,4,D1
401,24,17,217,13,7,6,40,13,19,15,50,29,78,18,252,7,32,0,110,8,D4
402,25,20,176,14,54,22,47,9,60,14,117,23,49,25,217,17,25,5,21,28,D2
403,2,9,100,-5,25,26,200,13,24,23,283,20,2,28,298,4,82,6,224,23,D5
404,69,15,78,13,99,8,80,10,16,1,48,18,20,12,85,-5,15,4,66,5,D2
405,67,1,41,7,77,4,212,17,32,6,197,19,53,4,0,5,61,1,247,17,D2
406,34,24,85,5,82,9,272,8,47,6,109,14,8,25,88,24,11,12,33,2,D2
407,52,23,291,27,75,19,90,13,84,18,230,29,92,15,132,13,58,16,300,3,D5
408,5,4,175,20,35,0,35,14,60,22,127,26,94,29,199,6,1,17,31,21,D4
409,32,0,132,0,81,18,132,3,4,7,291,20,74,29,258,22,71,24,124,4,D2
410,18,12,27,0,33,4,242,20,68,11,4,9,40,13,240,5,94,7,1,2,D5
411,91,0,198,25,98,6,196,18,12,12,143,12,31,14,25,3,3,24,164,2,D2
412,31,3,227,26,29,17,219,23,9,24,297,17,45,27,202,6,18,25,134,14,D4
413,97,0,172,6,89,1,168,11,83,16,211,28,21,3,76,16,2,26,262,10,D1
414,4,5,240,2,1,4,67,29,74,18,36,18,89,24,22,3,44,27,257,10,D4
415,72,11,78,23,94,14,252,28,15,13,116,23,72,2,57,19,67,20,139,15,D2
416,80,20,144,12,95,17,163,13,7,24,78,13,64,22,1,18,6,22,111,18,D2
417,21,26,67,29,53,29,71,20,83,25,201,9,16,5,31,24,25,18,76,17,D3
418,82,26,259,29,8,23,186,11,66,26,259,0,10,23,129,8,6,25,146,21,D3
419,40,5,94,5,17,21,213,10,77,22,230,10,38,19,161,23,80,24,236,1,D5
420,82,14,187,17,69,9,295,21,94,27,184,21,90,6,202,6,47,23,131,9,D4
421,76,8,75,-5,59,5,121,25,53,15,33,17,59,17,45,7,66,20,18,21,D1
422,19,3,29,0,27,13,38,1,4,10,241,12,49,20,112,10,25,22,205,19,D1
423,78,6,153,3,64,11,195,13,61,20,29,15,3,14,141,10,20,12,267,10,D1
424,45,7,271,-5,38,20,247,3,31,0,147,1,91,12,79,0,51,22,242,27,D4
425,88,3,7,25,29,7,0,0,5,26,137,4,56,10,47,14,35,25,78,17,D1
426,69,17,140,2,88,11,252,3,2,5,196,29,78,13,156,21,36,1,116,9,D2
427,18,14,168,19,56,27,296,26,3,2,11,29,69,18,179,21,25,8,138,11,D4
428,23,22,57,22,19,11,61,1,83,15,167,14,19,27,18,7,32,18,111,23,D3
429,21,29,171,4,48,21,195,21,79,29,271,18,62,10,269,17,38,11,214,9,D4
430,100,27,81,0,22,16,191,24,87,27,221,29,58,14,147,23,46,2,227,5,D1
431,13,2,129,28,25,5,25,24,41,13,252,29,15,7,152,8,57,6,87,28,D4
432,61,18,259,7,30,11,47,16,5,1,248,11,70,12,58,9,21,7,289,16,D1
433,74,28,6,6,56,16,36,2,62,0,173,18,17,6,283,27,73,20,84,6,D3
434,98,18,190,14,35,14,194,0,9,20,38,28,34,18,74,15,76,1,153,13,D5
435,50,16,228,26,0,14,65,5,36,24,36,15,79,4,119,16,91,21,183,21,D4
436,76,26,130,22,15,9,175,0,49,22,206,1,85,1,4,4,75,20,14,1,D4
437,1,4,229,-5,10,11,72,17,39,19,89,12,43,2,242,1,32,28,91,2,D4
438,81,28,300,25,24,11,86,19,78,22,230,5,68,12,189,13,17,17,267,2,D3
439,6,11,255,28,71,4,73,21,14,27,119,14,20,18,213,22,81,0,25,22,D5
440,52,10,156,17,38,29,43,24,4,2,151,6,46,16,226,13,50,8,266,-5,D5
441,66,29,266,25,3,10,257,2,51,27,97,17,42,20,207,15,46,5,46,12,D5
442,14,2,20,4,97,26,185,11,87,0,102,26,4,18,169,23,96,0,33,11,D5
443,36,3,140,29,53,13,233,27,69,23,7,10,52,20,98,11,59,22,284,8,D5
444,56,6,76,-5,58,15,243,7,82,28,247,1,1,17,146,17,61,0,135,4,D5
445,35,26,39,5,47,24,105,21,62,4,192,12,75,3,123,25,11,25,81,27,D3
446,90,21,168,12,56,25,105,11,10,20,177,7,43,16,79,0,67,0,139,7,D5
447,85,5,77,13,21,29,30,29,58,18,187,29,5,3,101,9,70,20,38,10,D1
448,49,2,238,1,73,6,37,17,26,22,281,21,1,25,206,12,97,11,2,19,D1
449,44,6,166,23,89,16,256,13,99,4,261,11,28,0,213,28,50,9,90,26,D3
450,82,13,102,7,63,16,215,3,89,8,117,13,10,8,123,29,61,18,99,6,D3
451,15,7,163,17,95,25,76,0,32,27,284,28,68,22,279,23,99,23,106,5,D2
452,23,22,68,25,74,2,191,3,23,22,9,2,24,23,178,21,42,26,54,29,D2
453,27,4,190,7,25,25,200,14,39,4,45,0,57,26,5,22,32,25,179,6,D3
454,87,29,294,20,2,27,102,28,17,15,169,17,48,5,253,14,38,4,259,12,D4
455,87,19,173,19,22,9,200,8,51,11,16,17,96,13,234,8,81,16,88,4,D4
456,37,16,296,5,17,1,253,10,3,18,245,9,47,17,118,3,3,19,191,20,D1
457,4,4,134,6,26,14,182,3,26,9,42,15,88,25,45,2,50,2,292,27,D4
458,11,8,209,28,21,1,279,22,70,0,171,23,16,18,222,17,87,8,84,2,D5
459,30,3,77,6,60,18,192,17,15,11,128,10,70,9,167,28,36,11,18,29,D1
460,26,28,182,13,92,16,92,15,3,9,72,24,32,26,42,23,1,20,236,16,D2
461,47,20,238,13,74,5,183,12,4,2,120,-5,75,25,24,14,53,1,70,9,D2
462,29,12,35,24,91,27,297,2,67,27,203,5,61,17,181,21,53,0,51,28,D2
463,58,13,208,11,25,8,30,0,97,0,65,12,31,26,100,5,52,21,86,4,D3
464,27,20,103,4,95,17,278,22,6,10,153,5,71,27,0,4,70,4,295,14,D5
465,73,23,160,18,21,6,156,4,4,9,142,3,86,9,272,9,53,18,14,10,D4
466,29,6,54,29,45,8,213,2,49,8,75,17,86,13,235,26,18,12,212,2,D2
467,73,16,136,6,94,28,72,16,66,17,105,15,41,24,36,9,71,29,250,14,D1
468,57,4,70,23,5,23,285,22,9,15,224,29,50,27,89,13,55,0,221,5,D5
469,53,16,14,7,62,19,171,14,58,5,193,-5,10,14,198,27,5,25,89,22,D3
470,71,12,292,10,37,22,156,25,63,21,155,10,74,11,237,10,47,12,223,22,D1
471,8,28,299,11,80,14,23,28,60,18,249,28,67,10,158,12,49,11,95,8,D4
472,30,19,208,19,99,8,159,6,48,22,95,4,27,6,71,18,85,9,251,0,D5
473,90,11,128,8,13,12,195,21,31,6,79,11,81,1,119,9,94,26,32,-5,D4
474,72,9,126,8,97,27,211,20,1,16,241,2,75,22,218,1,12,11,148,27,D4
475,84,13,227,-5,40,1,155,6,30,6,252,21,9,6,31,13,35,28,260,28,D1
476,61,27,121,20,31,27,88,13,50,17,120,6,56,4,194,22,90,15,293,28,D5
477,98,15,20,18,54,28,48,14,96,22,292,-5,83,22,71,19,6,3,222,10,D3
478,20,18,286,3,59,18,40,17,77,4,283,20,13,11,224,13,80,24,22,1,D3
479,53,16,271,13,0,22,59,27,15,12,66,24,77,12,204,8,10,20,118,-5,D4
480,54,7,94,17,0,2,148,5,4,11,160,26,83,10,266,9,62,5,299,15,D4
481,63,6,167,26,1,20,39,15,48,28,185,27,56,12,196,-5,85,21,269,22,D4
482,33,20,248,12,91,19,195,27,65,19,70,22,61,13,176,15,44,20,154,7,D4
483,5,28,43,21,67,11,137,4,65,5,54,21,89,13,50,2,72,24,245,18,D4
484,49,19,88,21,67,10,23,25,52,20,13,11,2,28,276,22,86,4,250,28,D5
485,1,8,215,22,75,26,247,10,92,23,144,8,36,20,290,26,39,3,187,7,D3
486,20,23,126,18,61,8,98,1,18,23,144,26,12,4,31,0,84,26,75,24,D2
487,7,9,44,21,64,24,145,6,87,27,13,19,99,7,97,6,34,15,274,9,D4
488,13,6,29,23,8,7,114,17,85,0,25,28,61,20,261,24,64,26,108,3,D3
489,36,24,151,28,26,20,66,7,62,24,166,29,15,28,223,25,46,6,101,0,D5
490,52,3,5,28,83,10,109,15,50,2,233,-5,0,21,224,10,62,4,169,9,D3
491,36,4,40,9,18,26,0,28,0,11,244,0,62,4,221,12,3,17,293,13,D4
492,15,5,267,22,28,14,124,6,77,28,54,13,6,11,53,18,19,18,177,10,D3
493,25,5,11,14,58,1,111,7,43,25,35,15,89,20,213,15,42,11,210,14,D2
494,94,9,5,22,81,20,17,29,29,20,69,0,27,11,253,10,23,5,220,9,D1
495,10,17,160,4,55,9,68,14,41,26,285,0,85,6,7,22,10,17,19,10,D4
496,46,25,46,-5,13,8,65,18,2,22,232,0,79,18,81,-5,49,16,275,13,D4
497,41,0,16,25,4,25,33,5,43,22,80,10,14,5,39,19,81,18,177,16,D5
498,35,13,28,1,70,28,37,28,79,23,11,11,57,21,209,11,21,6,195,22,D4
499,62,29,79,0,87,27,263,2,93,5,238,25,3,11,190,6,35,13,9,22,D2
500,74,25,211,18,4,20,63,3,64,4,136,11,75,26,266,-5,9,1,261,16,D4
501,28,18,175,16,100,26,3,11,7,8,240,29,94,3,202,25,11,24,24,8,D4
502,7,22,51,27,2,0,161,27,65,10,255,6,35,6,30,11,8,13,164,29,D3
503,73,1,116,24,17,26,295,27,36,6,56,8,34,23,295,9,44,0,119,17,D1
504,25,28,69,20,48,28,226,20,28,5,191,15,36,19,296,11,61,11,73,25,D4
505,87,27,127,16,79,16,45,17,26,17,186,2,36,7,84,27,1,24,22,20,D1
506,24,9,134,-5,14,2,72,-5,46,13,151,25,46,13,284,9,86,21,93,18,D4
507,91,1,87,2,12,24,184,28,89,24,104,25,21,29,201,27,50,22,168,9,D1
508,83,14,159,27,100,21,113,11,85,23,75,3,3,6,145,11,94,9,251,14,D5
509,72,13,103,9,92,14,214,14,40,24,182,0,51,9,40,20,75,17,271,20,D2
510,6,29,110,-5,33,22,107,25,8,15,155,4,18,24,137,28,19,8,73,17,D3
511,66,3,30,3,36,10,166,16,48,24,178,12,66,28,300,8,82,12,194,3,D5
512,42,11,171,24,68,5,34,3,13,25,125,1,96,8,185,0,71,9,274,24,D4
513,80,6,202,24,95,4,151,13,10,18,13,5,12,9,287,10,36,9,105,4,D2
514,34,13,88,13,4,27,109,12,51,16,76,21,55,20,220,14,1,20,256,1,D4
515,79,3,136,20,97,20,47,14,20,5,245,6,25,23,54,3,60,22,107,27,D1
516,13,11,31,11,18,21,187,18,78,7,128,13,41,28,283,22,57,22,143,24,D3
517,45,29,84,6,16,20,201,16,15,5,222,9,2,15,109,23,14,14,170,24,D3
518,53,16,215,21,91,28,205,25,81,25,130,19,98,3,254,27,79,2,209,27,D4
519,26,5,145,16,18,27,127,25,66,28,255,13,44,3,145,10,86,2,3,26,D4
520,91,6,78,7,96,28,94,11,59,28,143,8,12,7,35,1,70,5,193,19,D1
521,65,0,264,25,25,16,176,20,41,7,221,2,73,0,288,-5,31,4,228,3,D4
522,92,11,280,11,59,4,254,1,23,23,60,21,77,18,166,28,84,6,117,24,D1
523,67,13,216,5,92,8,293,8,48,22,247,0,95,25,199,-5,53,4,115,29,D2
524,79,2,4,26,25,21,142,10,33,1,110,14,14,18,155,24,39,17,209,8,D1
525,56,16,183,14,2,12,212,24,2,16,160,14,87,17,77,13,10,19,29,27,D4
526,90,20,210,21,39,15,228,8,80,3,197,4,48,29,50,13,71,1,211,26,D3
527,52,15,264,20,15,14,65,22,89,6,191,0,7,20,233,3,54,7,247,2,D3
528,74,23,18,3,92,14,26,15,83,0,209,29,29,26,255,10,57,25,274,15,D3
529,56,16,294,13,35,21,102,1,93,10,39,-5,80,28,13,3,43,20,23,2,D3
530,92,11,148,4,47,25,126,2,43,15,11,1,100,22,273,19,50,13,12,16,D1
531,9,27,49,16,33,3,99,6,54,26,29,10,66,2,188,0,53,25,292,13,D4
532,94,20,276,23,44,23,243,1,70,13,163,4,28,19,148,-5,18,26,147,28,D3
533,55,15,165,1,64,6,4,11,81,0,132,0,78,19,129,2,52,10,47,15,D3
534,42,1,166,24,19,9,251,6,0,8,19,16,10,16,273,15,96,27,95,12,D5
535,6,19,281,15,66,12,163,16,63,10,130,6,50,1,296,28,20,7,240,25,D3
536,16,29,280,7,50,1,213,15,0,2,113,16,29,25,270,6,68,12,215,3,D5
537,20,0,272,15,73,18,167,0,13,9,106,8,25,15,197,7,72,6,69,17,D2
538,49,9,250,3,6,27,154,5,94,11,75,5,52,18,36,18,21,22,80,6,D3
539,79,23,193,10,85,28,52,-5,78,29,194,26,44,10,212,10,14,0,247,10,D2
540,7,3,125,28,81,3,155,25,75,21,177,1,88,2,219,14,40,8,219,22,D4
541,25,10,265,9,70,17,20,29,24,3,30,27,22,22,159,18,21,19,247,6,D1
542,3,23,211,11,82,15,264,9,40,1,15,-5,12,16,106,27,35,19,162,25,D2
543,77,28,297,24,89,26,31,10,14,22,78,26,55,26,106,21,53,18,97,4,D2
544,62,10,156,19,53,12,256,13,10,4,143,6,86,0,267,6,88,22,28,16,D4
545,93,14,117,20,24,3,173,27,57,11,20,4,37,15,179,7,88,22,33,17,D1
546,73,1,163,17,39,12,33,10,21,17,66,1,55,11,110,17,86,14,34,29,D1
547,72,6,34,29,80,14,273,12,2,4,54,27,65,8,235,6,40,5,178,2,D4
548,57,14,118,7,83,24,245,2,88,23,142,15,44,12,115,2,53,17,281,24,D2
549,12,9,68,15,47,8,111,26,42,28,111,24,49,27,212,13,2,2,11,24,D4
550,81,18,232,6,99,12,58,15,67,2,163,27,69,28,65,1,62,15,188,16,D1
551,34,29,99,5,7,24,166,10,31,26,138,8,27,20,258,15,30,0,185,26,D5
552,37,1,187,10,17,12,138,7,3,3,165,20,76,10,226,2,85,0,133,25,D4
553,73,20,116,16,76,19,275,28,19,15,54,15,51,19,249,18,46,17,263,29,D1
554,19,16,128,27,91,17,173,19,23,26,269,2,94,17,0,23,49,29,223,23,D2
555,72,13,149,21,30,0,280,23,76,17,272,-5,6,12,44,12,14,19,131,0,D3
556,99,10,213,21,1,26,21,16,48,27,126,1,17,4,158,28,86,1,155,24,D1
557,51,12,228,1,92,18,12,6,22,29,132,8,26,7,40,6,95,5,76,7,D5
558,5,7,63,22,88,9,136,1,80,28,217,14,45,22,221,2,63,11,208,9,D2
559,64,9,1,29,17,26,87,16,29,0,275,27,36,28,157,4,37,8,230,19,D5
560,71,24,32,27,68,5,13,16,52,6,178,8,70,3,141,-5,93,21,109,13,D4
561,53,7,233,-5,60,8,156,16,93,24,237,22,97,0,266,19,33,20,77,25,D4
562,16,3,190,9,0,9,243,28,76,12,268,27,34,7,193,2,9,10,112,26,D4
563,0,26,288,24,15,0,293,28,62,14,266,17,53,14,123,5,1,20,22,2,D4
564,8,13,199,7,99,2,255,17,11,29,101,24,60,18,261,3,99,12,106,4,D2
565,51,2,139,25,79,8,132,5,68,10,285,2,37,29,29,1,16,25,199,23,D3
566,19,2,22,21,76,1,241,12,21,17,251,-5,84,14,255,20,12,22,204,13,D2
567,15,1,92,24,3,2,119,29,92,21,178,19,16,8,150,3,64,4,96,7,D5
568,18,13,12,29,19,16,284,24,96,14,49,23,98,4,170,6,92,4,103,8,D4
569,51,23,129,11,80,18,100,24,7,13,136,3,5,4,89,18,47,7,135,2,D5
570,40,21,287,5,88,26,80,26,12,5,61,26,72,29,251,21,71,27,202,0,D5
571,27,29,11,19,8,13,128,20,5,2,8,26,83,4,241,3,16,29,292,6,D4
572,72,21,269,14,21,29,80,8,12,24,119,-5,60,11,92,23,14,17,188,22,D1
573,21,5,142,14,56,20,112,6,73,27,85,14,39,5,167,25,94,15,61,3,D5
574,80,15,63,6,45,15,108,27,80,11,129,5,87,12,198,1,87,9,141,13,D4
575,80,16,119,27,67,25,236,0,84,12,70,26,55,3,274,25,52,23,191,11,D2
576,62,11,15,5,56,21,201,26,39,21,100,23,81,18,92,6,18,3,32,22,D4
577,58,12,229,2,79,23,216,9,32,0,22,27,38,26,158,8,87,23,103,13,D1
578,0,29,77,7,92,16,160,25,96,19,182,19,81,21,278,25,34,4,283,25,D3
579,46,17,255,3,99,17,224,6,31,8,289,24,73,12,197,5,38,16,51,2,D2
580,71,8,286,20,78,15,129,22,51,2,222,16,64,23,57,6,43,0,64,11,D1
581,28,10,279,28,100,23,209,26,21,11,232,-5,88,14,29,18,42,5,276,18,D3
582,3,28,83,3,78,15,108,2,7,29,191,12,92,4,256,9,70,18,57,7,D4
583,74,25,85,20,72,1,6,2,52,19,81,11,85,29,242,29,39,26,200,13,D2
584,4,6,28,29,79,17,277,5,11,6,161,11,76,20,198,28,29,15,261,16,D2
585,85,4,34,23,73,10,25,18,23,21,276,1,77,3,98,15,80,23,63,14,D4
586,79,15,37,11,81,1,64,15,37,15,280,28,66,2,30,0,53,8,60,10,D4
587,11,17,39,2,58,8,138,25,42,23,249,20,6,17,70,5,36,22,144,28,D2
588,10,29,38,18,83,2,78,2,60,24,141,1,10,5,85,5,64,1,276,14,D2
589,27,4,36,12,69,4,289,18,33,18,293,16,3,26,210,2,52,28,10,5,D2
590,4,16,151,2,50,16,96,9,38,4,1,-5,49,27,95,17,18,12,135,16,D3
591,11,28,43,26,14,8,178,-5,41,2,247,21,0,21,199,4,97,9,217,-5,D5
592,31,29,270,20,84,18,158,9,24,29,3,26,21,27,23,4,1,22,158,4,D2
593,22,27,75,4,1,0,175,13,29,20,99,11,52,14,229,29,8,11,237,24,D4
594,50,29,101,22,95,22,220,16,62,1,15,22,98,29,267,9,82,28,142,14,D4
595,95,2,282,26,10,27,299,23,61,14,252,24,7,12,256,17,55,2,174,17,D1
596,77,17,283,9,10,0,16,21,96,2,37,17,84,26,154,25,83,6,158,21,D3
597,71,15,183,28,62,16,77,14,72,10,271,25,78,3,118,29,54,7,181,27,D3
598,100,21,143,25,54,21,162,0,38,10,278,-5,38,8,147,6,54,3,219,14,D3
599,35,1,259,24,70,8,280,13,41,12,59,14,60,25,106,4,6,13,295,16,D2
600,84,3,239,15,16,8,122,22,97,5,117,3,64,9,288,20,97,1,221,8,D5
601,52,12,246,21,78,20,30,18,50,9,90,8,74,9,151,26,20,22,206,19,D3
602,10,7,267,3,59,3,257,25,45,8,204,20,49,12,262,-5,14,15,47,24,D4
603,46,21,176,7,11,25,185,20,21,23,231,13,51,21,254,25,13,18,121,13,D1
604,62,11,258,23,14,18,139,22,87,11,145,6,87,23,187,25,36,19,55,7,D3
605,4,3,19,29,46,28,287,27,20,11,66,13,73,17,186,4,28,15,152,5,D4
606,47,14,173,13,59,22,47,4,53,9,22,22,3,27,83,8,54,27,105,6,D2
607,19,27,172,7,90,2,117,7,20,8,66,1,49,15,7,5,94,6,261,27,D2
608,66,22,258,6,76,29,124,13,78,11,196,25,74,16,238,15,33,29,290,25,D1
609,99,6,201,6,82,2,110,12,95,19,82,0,0,10,286,23,23,16,251,9,D1
610,0,21,138,6,75,3,15,20,85,14,229,13,98,23,212,23,17,18,142,21,D3
611,86,18,187,7,11,22,289,28,47,14,18,4,97,29,36,9,89,8,74,1,D5
612,30,3,20,12,53,27,241,12,60,1,26,29,18,27,141,25,5,15,12,3,D2
